authors,series,title
"Loevenbruck, Henri","Serum","Serum - Saison 01, épisode 02"
"Salvatore, R.A","Légende de Drizzt","L'Éclat de Cristal"
"Salvatore, R.A","","Le Roi pirate"
"Van Vogt, Alfred E","","Le sorcier de Linn"
"Salvatore, R.A","Neverwinter","Neverwinter"
"Heinlein, Robert","","Job : une comédie de justice"
"Morgan, Richard","Takeshi Kovacs","Furies Déchaînées"
"Asimov, Isaac","","L'Avenir commence demain"
"Heinlein, Robert","","Le chat passe-muraille"
"Wul, Stephan","","Le temple du passé"
"Colin, Fabrice","","La fonte des rêves"
"Heinlein, Robert","Histoire du Futur","Les vertes collines de la Terre"
"Salvatore, R.A","Légende de Drizzt","L'Invasion des Ténèbres"
"Hobb, Robin","Soldat chamane","Racines"
"Grimbert, Pierre","Les Enfants De Ji","le Patriarche"
"Bradbury, Ray","","Celui Qui Attend"
"Aldiss, Brian","","Le monde vert"
"Heinlein, Robert","","Double étoile"
"Spinrad, Norman","","Jack Barron et l'éternité"
"Simak, Clifford D","","JaiLu 847 - Au carrefour des étoiles"
"Hobb, Robin","Soldat chamane","Le Fils rejeté"
"Heinlein, Robert","","Le ravin des ténèbres"
"Barker, Clive","Livre de sang","prison de chair"
"Hobb, Robin","Les Aventuriers de la mer","La conquete de la liberte"
"Card, Orson Scott","Les chroniques d'Alvin le Faiseur","Le prophète rouge"
"Ballard, J.G","","crash !"
"Hobb, Robin","Les Cités des Anciens","La Decrue"
"Lem, Stanislas","","Solaris"
"Brown, Fredric","Ed & Am Hunter","Crime à Chicago"
"Ayerdhal","","Cybione"
"Salvatore, R.A","Légende de Drizzt","Terre d'Exil"
"Dick, Phillip K","","Le dieu venu du Centaure"
"Vance, Jack","The Cadwal Chronicles","La Station d'Araminta"
"Grimbert, Pierre","","La malédiction du coquillage"
"Vance, Jack","The Cadwal Chronicles","Araminta 2"
"Asimov, Isaac","The Winds of Change and Other Stories","Les Vents Du Changement"
"Card, Orson Scott","Les chroniques d'Alvin le Faiseur","L'apprenti"
"Zelazny, Roger","","Le Maître Des Ombres"
"Heinlein, Robert","Histoire du Futur","Les orphelins du ciel"
"Weis, Margaret","Les chroniques de Lancedragon","Dragons D'Une Aube De Printemps"
"Adams, Douglas","H2G2","Globalement Inoffensive"
"Attanasio, A. A","","Radix"
"Colfer, Eoin","H2G2","Encore une chose..."
"Hobb, Robin","Les Aventuriers de la mer","Le navire aux esclaves"
"Hobb, Robin","Soldat chamane","La Déchirure"
"Bradbury, Ray","","L'homme Illustré"
"Hobb, Robin","Assassin Royal","Retour au pays"
"Heinlein, Robert","","Marionnettes humaines"
"Clarke, Arthur C","Rama","Rama révélé"
"Loevenbruck, Henri","","L'Apothicaire"
"Brin, David","Le cycle de l'élèvation","Maree Stellaire"
"Weis, Margaret","La Guerre des Âmes","Dragon d'une lune disparue La Guerre Des Ames, Tome 3"
"Salvatore, R.A","Neverwinter","Gauntlgrym"
"Mc Caffrey, Anne","Le Cycle des Hommes Libres","Terre de liberté"
"Hobb, Robin","Les Aventuriers de la mer","Prisons d'eau et de bois"
"Brown, Fredric","Ed & Am Hunter","Le Monstre Vous Salue Bien"
"Loevenbruck, Henri","La moira","La nuit de la louve"
"Zelazny, Roger","","Seigneur de lumière"
"Dick, Phillip K","La Trilogie Divine","Siva"
"Wolfe, Gene","Le Livre du second soleil de Teur","La griffe du demi-dieu"
"Adams, Douglas","Dirk Gently","Un cheval dans la salle de bains"
"Gemmell, David","","L'étoile du matin"
"Salvatore, R.A","Demon Wars","L'Esprit du Démon"
"Wolfe, Gene","Le Livre du second soleil de Teur","Le nouveau soleil de Teur 1"
"Heinlein, Robert","","En terre étrangère"
"Asimov, Isaac","Nightfall and Other Stories","L'amour vous connaissez ?"
"Salvatore, R.A","Les Royaumes Oubliés - La Pentalogie Du Clerc","Les masques de la nuit"
"Brin, David","Le cycle de l'élèvation","jusquau coeur du soleil"
"Bear, Greg","","Oblique"
"Ayerdhal","","Étoiles mourantes"
"Salvatore, R.A","Les Royaumes Oubliés - La Pentalogie Du Clerc","Cantique"
"Dick, Phillip K","","Ubik"
"Morgan, Richard","Takeshi Kovacs","Carbone Modifié"
"Robinson, Kim Stanley","Capital Code","50° au-dessous de zéro"
"Merritt, Abraham","","Le visage dans l'abîme"
"Hobb, Robin","Les Aventuriers de la mer","Le seigneur des Trois-regnes"
"Van Vogt, Alfred E","","L’homme multiplié"
"Lackey, Mercedes","La guerre des mages","Le griffon blanc"
"Heinlein, Robert","","Vendredi"
"Dick, Phillip K","","Deus Irae"
"Van Vogt, Alfred E","","Quête sans fin"
"Asimov, Isaac","Veufs Noirs","Retour au Club des Veufs Noirs"
"Wolfe, Gene","","La Cinquième Tête de Cerbère"
"Card, Orson Scott","Les chroniques d'Alvin le Faiseur","Le compagnon"
"Robinson, Kim Stanley","Capital Code","60 jours et après"
"Salvatore, R.A","","Les revenants du fond du gouffre"
"Mc Caffrey, Anne","Le Cycle des Hommes Libres","Terre de défi"
"Simmons, Dan","Cantos d'Hyperion","Hyperion 2"
"Salvatore, R.A","","Le Roi fantôme"
"Shaw, Bob","","Les Yeux du temps"
"Hobb, Robin","Assassin Royal","Le poison de la vengeance"
"Brooks, Max","","Guide de survie en territoire zombie"
"Vance, Jack","The Cadwal Chronicles","Les chroniques de Cadwal"
"Aldiss, Brian","","L'autre île du Dr Moreau"
"Dick, Phillip K","","Les joueurs de Titan"
"Hobb, Robin","Assassin Royal","Serments et deuils"
"Dick, Phillip K","","Coulez mes larmes, dit le policier"
"Asimov, Isaac","","Espace Vital"
"Wul, Stephan","","Retour à O"
"Salvatore, R.A","Légende de Drizzt","L'Épine Dorsale du Monde"
"Loevenbruck, Henri","Ari Mackenzie","Les cathédrales du vide"
"Lindholm, Megan","Ki et Vandien","La porte du Limbreth"
"Heinlein, Robert","","Une porte sur l'été"
"Hobb, Robin","Assassin Royal","L'apprenti assassin"
"Moorcock, Michael","Elric","La sorcière dormante"
"Anderson, Kevin J","La saga des 7 soleils","L'Empire caché"
"Sapkowski, Andrzej","La Saga du Sorceleur","Le dernier vœu"
"Zahn, Timothy","La main de Thrawn","Le spectre du passé"
"Ballard, J.G","","Le monde englouti"
"Bradbury, Ray","","Fahrenheit 451"
"Pohl, Frederik","","Les gogos contre-attaquent"
"Anderson, Kevin J","La saga des 7 soleils","Ombres et Flammes"
"Hobb, Robin","Assassin Royal","Le prophete blanc"
"Dick, Phillip K","","Le Temps Désarticulé"
"Mc Caffrey, Anne","Pern : Les origines","L’œil du dragon"
"Morgan, Richard","Takeshi Kovacs","Anges Déchus"
"Salvatore, R.A","Mercenaires","Serviteur du Cristal"
"Heinlein, Robert","","Étoiles, garde-à-vous"
"Knight, E.E","Terre vampire","La Voie du Loup"
"Weis, Margaret","La Guerre des Âmes","Dragons D'Une étoile Perdue"
"Anderson, Kevin J","La saga des 7 soleils","Soleils éclatés"
"Salvatore, R.A","Les Royaumes Oubliés - La Pentalogie Du Clerc","À l'Ombre des Forêts"
"Zelazny, Roger","","La pierre des étoiles"
"Zahn, Timothy","La main de Thrawn","Vision du futur"
"Robinson, Kim Stanley","","Chroniques des années noires"
"Barker, Clive","Livre de sang","La mort, sa vie, son oeuvre"
"Dick, Phillip K","","Message de Frolix 8"
"Mc Caffrey, Anne","Pern : La grande guerre des fils","Tous les Weyrs de Pern"
"Knight, E.E","Terre vampire","Le choix du félin"
"Card, Orson Scott","Maps in a Mirror","L'homme transformé: récits d'angoisse"
"Loevenbruck, Henri","","Le testament des siècles"
"Moorcock, Michael","Elric","Stormbringer"
"Salvatore, R.A","Mercenaires","La promesse du Roi-Sorcier"
"Colin, Fabrice","","La saison des conquêtes"
"Pohl, Frederik","","L'ère du satisfacteur"
"Hobb, Robin","Soldat chamane","Le choix du Soldat"
"Lackey, Mercedes","La trilogie des Tempêtes","Au coeur des tempètes"
"Grimbert, Pierre","Les Enfants De Ji","la voix des ainés"
"Hobb, Robin","Les Cités des Anciens","La fureur du fleuve"
"Heinlein, Robert","Histoire du Futur","L'homme qui vendit la Lune"
"Van Vogt, Alfred E","","Les armureries d'Isher"
"Spinrad, Norman","","OUSSAMA"
"Mc Caffrey, Anne","Pern : Les Harpistes","Le Maître harpiste de Pern"
"Anderson, Poul","La Patrouille du Temps","Le bouclier du temps"
"Vance, Jack","","Méchante fille"
"Saint Moore, Adam","Les chroniques de l'ére du verseau","Les jours de la montagne bleue"
"Dick, Phillip K","","L'oeil dans le ciel"
"Salvatore, R.A","Légende de Drizzt","Une Aube Nouvelle"
"Barclay, James","Les Elfes","Abandonnés Des Dieux"
"Simmons, Dan","","Les fils des ténèbres"
"Heinlein, Robert","","Podkayne fille de Mars"
"Ryan, Anthony","Blood Song","La voix du sang"
"Anderson, Kevin J","La saga des 7 soleils","Une forêt d'étoiles"
"Asimov, Isaac","Asimov's Mysteries","Histoires Mystérieuses"
"Adams, Douglas","H2G2","Le Dernier Restaurant avant la Fin du Monde"
"Betancourt, John Gregory","Prélude aux Neuf princes d'Ambre","La naissance d'Ambre"
"Mc Caffrey, Anne","Pern : Les Harpistes","La chanteuse-dragon de Pern"
"Brown, Fredric","Ed & Am Hunter","Un Cadavre au Clair de Lune"
"Barclay, James","Les Elfes","La Révolte des TaiGethen"
"Merritt, Abraham","","La nef d'Ishtar"
"Gaborit, Mathieu","","Bohême"
"Saint Moore, Adam","Les chroniques de l'ére du verseau","L'hérésiarque"
"Heinlein, Robert","","Le vagabond de l'espace"
"Wolfe, Gene","Le Livre du second soleil de Teur","L'épée du Licteur"
"Mc Caffrey, Anne","Pern : La grande guerre des fils","Le vol du dragon"
"Brown, Fredric","","Paradoxe perdu"
"Asimov, Isaac","The Early Asimov","La mère des mondes"
"Blish, James","","Semailles humaines"
"Priest,Christopher","","La fontaine pétrifiante"
"Clarke, Arthur C","Rama","Les jardins de Rama"
"Mc Caffrey, Anne","Pern : Les Harpistes","Le chant du dragon"
"Simak, Clifford D","","La Réserve des Lutins"
"Asimov, Isaac","Les nouvelles sur les robots","Nous les robots"
"Fetjaine, Jean-Louis","La trilogie des elfes","La nuit des elfes"
"Lindholm, Megan","","Le dernier magicien"
"Salvatore, R.A","Légende de Drizzt","Terre Natale"
"Lackey, Mercedes","La guerre des mages","Le griffon d'argent"
"Lindholm, Megan","Ki et Vandien","Le vol des harpies"
"Anderson, Kevin J","La saga des 7 soleils","Mondes en cendres"
"Simmons, Dan","L'échiquier du mal","L'échiquier du mal - Tome 2"
"Barker, Clive","Livre de sang","Confessions d'un linceul"
"Dick, Phillip K","","Simulacres"
"Spinrad, Norman","","Rêve de fer"
"Weis, Margaret","Les portes de la mort","La Main Du Chaos"
"Zelazny, Roger","","Repères sur la route"
"Hobb, Robin","Soldat chamane","La Magie de la Peur"
"Niven, Larry","Le cycle de l'Anneau-Monde","L'Anneau-Monde"
"Salvatore, R.A","Les Royaumes Oubliés - La Pentalogie Du Clerc","Chaos cruel"
"Van Vogt, Alfred E","","Ténèbres Sur Diamondia"
"Van Vogt, Alfred E","","Le Silkie"
"Dick, Phillip K","","Le guérisseur de cathédrales"
"Lindholm, Megan","Ki et Vandien","Les roues du destin"
"Simmons, Dan","","Les forbans de Cuba"
"Robinson, Kim Stanley","La Trilogie Martienne","Mars la verte"
"Salvatore, R.A","Les Royaumes Oubliés - La Pentalogie Du Clerc","La forteresse déchue"
"Heinlein, Robert","","Révolte sur la lune"
"Dick, Phillip K","","Paycheck"
"Forstchen, William R","Le Régiment Perdu","Revanches"
"Anderson, Poul","La Patrouille du Temps","Le patrouilleur du temps"
"Mc Caffrey, Anne","Pern : La grande guerre des fils","Le dragon blanc"
"Hobb, Robin","Assassin Royal","Adieux et retrouvailles"
"Moorcock, Michael","Elric","Elric le Nécromancien"
"Mc Caffrey, Anne","Pern : Autre monde de Pern","Les Ciels De Pern"
"Anderson, Kevin J","La saga des 7 soleils","Un essaim d'acier"
"Del Toro, Guillermo","La lignée","La chute"
"Vance, Jack","","Méchant garçon"
"Vance, Jack","","La vie eternelle"
"Colin, Fabrice","","Le fils des Ténèbres"
"Card, Orson Scott","Les chroniques d'Alvin le Faiseur","Le Septième Fils"
"Mc Caffrey, Anne","Pern : Autre monde de Pern","Les rénégats de Pern"
"Simmons, Dan","Cantos d'Hyperion","Endymion 2"
"Heinlein, Robert","","Au-delà du crépuscule"
"Weis, Margaret","La Guerre des Âmes","Dragons D'Un Coucher De Soleil"
"Hobb, Robin","Les Aventuriers de la mer","Le Vaisseau magique"
"Van Vogt, Alfred E","","L'empire de l'atome"
"Knight, E.E","Terre vampire","La légende du tonnerre"
"Salvatore, R.A","Les Royaumes Oubliés - Les Lames Du Chasseur","Le Drow Solitaire"
"Dick, Phillip K","","Le profanateur"
"Ballard, J.G","","I.G.H."
"Dick, Phillip K","","En attendant l'année dernière"
"Clarke, Arthur C","","Les enfants d'Icare"
"Sapkowski, Andrzej","La Saga du Sorceleur","Le sang des elfes"
"Salvatore, R.A","Demon Wars","L'Éveil du Démon"
"Hobb, Robin","Les Aventuriers de la mer","Les marches du trone"
"Brown, Fredric","Ed & Am Hunter","La mort a ses entrées"
"Hobb, Robin","Assassin Royal","La reine solitaire"
