authors,series,title
"Elspeth Cooper","La chasse sauvage","La chasse sauvage - 01 - Les chants de la Terre"
"Eli Anderson","Oscar Pill","Oscar Pill - 5 - Cérébra - L'ultime voyage"
"Eli Anderson","Oscar Pill","Oscar Pill - 4 - L'Allié Des Ténèbres"
"Eli Anderson","Oscar Pill","Oscar Pill - 2 - Les Deux Royaumes"
"Eli Anderson","Oscar Pill","Oscar Pill - 3 - Le Secret Des Eternels"
"Eli Anderson","Oscar Pill","Oscar Pill - 1 - La Révélation Des Médicus"
"Edouard Brasey","","La Prophetie de Pierre"
"Eco Umberto","","Le nom de la Rose"
"Dustin Thomason","","La Règle de quatre"
"Dustin Thomason","","12:21"
"Douglas Preston","","Impact"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 9 - Valse Macabre"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 8 - Croisiere Maudite"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 7 - Le Livre Des Trepasses"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 6 - Danse De Mort"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 5 - Le violon du diable"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 4 - Les Croassements De La Nuit"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 3 - La chambre des curiosites"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 2 - Le Grenier Des Enfers"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 11 - Vengeance à froid"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 10 - Fievre mutante"
"Douglas Preston","Cycle Pendergast","Cycle Pendergast - 1 - Relic"
"Douglas Adams","H2G2","H2G2 - 5 - Globalement Inoffensive"
"Douglas Adams","H2G2","H2G2 - 3 - La Vie, l'Univers et le Reste"
"Douglas Adams","H2G2","H2G2 - 2 - Le Dernier Restaurant avant la Fin du Monde"
"Douglas Adams","H2G2","H2G2 - 1 - Le Guide du Routard Galactique"
"Douglas Adams","H2G2","H2G2 - 04 - Salut, et encore merci pour le poisson"
"Donato Carrisi","","Le chuchoteur"
"Didier Convard","","Le triangle secret"
"Dean R. Koontz","","Tic Tac"
"Dean R. Koontz","","Ne crains rien"
"Dean R. Koontz","","Spectres"
"Dean R. Koontz","","Mr. Murder"
"Dean R. Koontz","","Miroirs de sang"
"Dean R. Koontz","","Midnight Dean"
"Dean R. Koontz","","Mémoire truquée"
"Dean R. Koontz","","Les Yeux foudroyés"
"Dean R. Koontz","","Lune froide"
"Dean R. Koontz","","Les Yeux des ténèbres"
"Dean R. Koontz","","Les larmes du dragon"
"Dean R. Koontz","","Les étrangers"
"Dean R. Koontz","","le visage de la peur"
"Dean R. Koontz","","Le Temps Paralyse"
"Dean R. Koontz","","Le rideau des ténèbres"
"Dean R. Koontz","","Le mari"
"Dean R. Koontz","","Le choix vous appartient"
"Dean R. Koontz","","La voix des ténèbres"
"Dean R. Koontz","","La Semence Du Démon"
"Dean R. Koontz","","La porte rouge"
"Dean R. Koontz","","La Clé Interdite"
"Dean R. Koontz","","La cache du diable"
"Dean R. Koontz","","Intensité"
"Dean R. Koontz","","L'Antre du Tonnerre"
"Dean R. Koontz","","Fièvre de glace"
"Dean R. Koontz","","Chasse à mort"
"David Weber","La Lune de Mutins","La Lune de Mutins - 3 - Les Héritier de l'Empire"
"David Weber","La Lune de Mutins","La Lune de Mutins - 2 -L'Héritage de l'Armageddon"
"David Weber","La Lune de Mutins","La Lune de Mutins - 1 - La Lune des Mutins"
"David Weber","L'Univers d'Honor Harrington","L'Univers d'Honor Harrington - 3 - La Couronne Des Esclaves 1"
"David Weber","L'Univers d'Honor Harrington","L'Univers d'Honor Harrington - 2 - L'Ennemi dans l'Ombre - 2"
"David Weber","L'Univers d'Honor Harrington","L'Univers d'Honor Harrington - 2 - L'ennemi dans l'ombre - 1"
"David Weber","L'Univers d'Honor Harrington","L'Univers d'Honor Harrington - 1 - L'Ombre de Saganami - 1"
"David Weber","L'Univers d'Honor Harrington","L'Univers d'Honor Harrington - 1 - L'Ombre de Saganami - 2"
"David Weber","Cycle Sanctuaire","Cycle Sanctuaire - 2 - L’Alliance des hérétiques"
"David Weber","Cycle Sanctuaire","Cycle Sanctuaire - 1 - Cap sur l'Armageddon"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 9 - Les Cendres de la victoire - 1"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 8 - La Disparue de l'enfer - 1"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 7 - Aux Mains De L'ennemi - 1"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 6 - Mascarade Silésienne - 1"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 5 - Pavillon de l'exil"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 4 - Au champ du déshonneur"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 3 - Une guerre victorieuse et brève"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 2 - Pour l'honneur de la reine"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 12 - En Mission Tome 1"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 12 - En Mission Tome 2"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 11 - Coute que coute"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 10 - Plaies d'honneur"
"David Weber","Cycle Honor Harrington","Cycle Honor Harrington - 1 - Mission Basilic"
"David Gibbins","","Tigres De Guerre"
"David Gibbins","","Les Dieux d’Atlantis"
"David Gibbins","","Le masque de Troie"
"David Gibbins","","Le Dernier Evangile"
"David Gibbins","","Le Chancelier d'or"
"David Gibbins","","Atlantis"
"David Chandler","Les Sept Lames","Les Sept Lames - 02 - Un Voleur Dans la Nuit"
"David Chandler","Les Sept Lames","Les Sept Lames - 01 - l'Antre des voleurs"
"Daniel Tammet","","Je suis né un jour bleu"
"Dan Simmons","","Les Feux de l'Eden"
"Dan Simmons","","L'échiquier du mal"
"Dan Simmons","Elm Haven","Elm Haven - 2 - Les fils des ténèbres"
"Dan Simmons","Elm Haven","Elm Haven - 1 - Nuit d'été"
"Dan Simmons","Cantos d'Hyperion","Cycle Hypérion - 9 - Les orphelins de l'Helice"
"Dan Simmons","Cantos d'Hyperion","Cycle Hypérion - 8 - L'eveil d'Endymion 2"
"Dan Simmons","Cantos d'Hyperion","Cycle Hypérion - 7 - L'eveil d'Endymion 1"
"Dan Simmons","Cantos d'Hyperion","Cycle Hypérion - 6 - Endymion 2"
"Dan Simmons","Cantos d'Hyperion","Cycle Hypérion - 5 - Endymion 1"
"Dan Simmons","Cantos d'Hyperion","Cycle Hypérion - 4 - La Chute d'Hyperion 2"
"Dan Simmons","Cantos d'Hyperion","Cycle Hypérion - 3 - La Chute d'Hyperion 1"
"Dan Simmons","Cantos d'Hyperion","Cycle Hypérion - 2 - Hyperion 2"
"Dan Simmons","Cantos d'Hyperion","Cycle Hypérion - 1 - Hyperion 1"
"Dan Dastier","","Zarnia dimension folie"
"Dan Dastier","","Une autre éternité"
"Dan Dastier","","stade Zéro"
"Dan Dastier","","Shan-Aya"
"Dan Dastier","","Naia de Zomk00"
"Dan Dastier","","Obsession Terzium 13"
"Dan Dastier","","Les Vengeurs de Zyléa"
"Dan Dastier","","Les Sequestres de Kappa"
"Dan Dastier","","Les Portes du Monde Alpha"
"Dan Dastier","","Les Maitres de Gorka"
"Dan Dastier","","Les Intemporels"
"Dan Dastier","","Les Dieux Maudits d'Alphéa"
"Dan Dastier","","Les androides meurent aussi"
"Dan Dastier","","Le talef d'Alkoria"
"Dan Dastier","","Le soleil des Arians"
"Dan Dastier","","Le sixième Symbiote"
"Dan Dastier","","Le règne d'Astakla"
"Dan Dastier","","Le secret d'Irgoun"
"Dan Dastier","","Le feu de Klo-Ora"
"Dan Dastier","","La métamorphose des Shaftes"
"Dan Dastier","","La louve de Thar-Gha"
"Dan Dastier","","L'ère des Bionites"
"Dan Dastier","","L'enfant de Xéna"
"Dan Dastier","Jullian de Cerny","Jullian de Cerny - 5 - Les Sphere de Penta"
"Dan Dastier","Jullian de Cerny","Jullian de Cerny - 4 - Les Mutans de Pshuuria"
"Dan Dastier","Jullian de Cerny","Jullian de Cerny - 3 - Les Immortels de Cephalia"
"Dan Dastier","Julian de Cerny","Jullian de Cerny - 2 - La planète aux diamants"
"Dan Dastier","","Et les hommes voulurent mourir"
"Dan Dastier","","Au dela des trouées noires"
"Dan Brown","Robert Langdon","Le symbole perdu"
"Dan Brown","","Forteresse digitale"
"Dan Brown","","Deception point"
"Dan Brown","Robert Langdon","Da Vinci code"
"Dan Brown","Robert Langdon","Anges & démons"
"Corentin Macqueron","","Human Genome"
"Connie Willis","","Sans parler du chien"
"Connie Willis","","Passage"
"Connie Willis","","Le grand livre"
"Connie Willis","","Aux confins de l'étrange"
"Clive Cussler","","Serie Oregon Files - 6 - Corsaire"
"Clive Cussler","Série Oregon Files","Série Oregon Files - 5 - Croisière fatale"
"Clive Cussler","Série Oregon Files","Série Oregon Files - 6 - Corsaire"
"Clive Cussler","","Serie Oregon Files - 4 - Rivage Mortel"
"Clive Cussler","Série Oregon Files","Série Oregon Files - 4 - Rivage Mortel"
"Clive Cussler","","Serie Oregon Files - 3 - Quart Mortel"
"Clive Cussler","Série Oregon Files","Série Oregon Files - 2 - Pierre Sacrée"
"Clive Cussler","Série Oregon Files","Série Oregon Files - 3 - Quart Mortel"
"Clive Cussler","Série Oregon Files","Série Oregon Files - 1 - Bouddha d'or"
"Clive Cussler","Série Numa Files","Série Numa Files - 5 - A La Recherche De La Cité Perdue"
"Clive Cussler","Série Numa Files","Série Numa Files - 3 - Glace de feu"
"Clive Cussler","Série Numa Files","Série Numa Files - 2 - L'Or Bleu"
"Clive Cussler","Série Numa Files","Série Numa Files - 1 - Serpent"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 9 - Trésor"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 8 - Cyclope"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 7 - Panique à la Maison-Blanche"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 5 - L'IncroyabLe Secret"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 6 - Vortex"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 4 - Vixen 03"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 3 - Renflouez le titanic"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 2 - Iceberg"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 20 - Dérive Arctique"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 19 - Le Tresor du Khan"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 18 - Vent Mortel"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 17 - Odyssee"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 15 - Atlantide"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 14 - Raz de Marée"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 13 - Onde De Choc"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 12 - L'or des Incas"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 10 - Dragon"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 11 - Sahara"
"Clive Cussler","Série Dirk Pitt","Série Dirk Pitt - 1 - Mayday"
"Clifford D. Simak","","Au carrefour des étoiles"
"Cédric Sire","","L'enfant des cimetières"
"Cédric Sire","","DE FIÈVRE ET DE SANG"
"Carole M","","L’éveil érotique de Carole – I : le balcon"
"Carl Sagan","","Contact"
"Caleb Carr","","L'alieniste"
"Byrnes Michael","","Le secret du dixième tombeau"
"Brent Weeks","Ange de la Nuit","L'Ange de la nuit - 3 - Au-Delà Des Ombres"
"Brent Weeks","Ange de la Nuit","L'Ange de la nuit - 2 - Le Choix Des Ombres"
"Brent Weeks","Ange de la Nuit","L'Ange de la nuit - 1 - La Voie Des Ombres"
"Boris Strougatski","","Le Petit"
"Beth Fantaskey","Vampire","Vampire - 2 - Comment sauver un vampire amoureux"
"Beth Fantaskey","Vampire","Vampire - 1 - Comment se débarraser d'un vampire amoureux"
"Beth Fantaskey","","Alchimie"
"Bernard Werber","Les fourmis","Trilogie des fourmis - 3 - La Révolution des Fourmis"
"Bernard Werber","","Troisième humanité"
"Bernard Werber","Les fourmis","Trilogie des fourmis - 2 - Le jour des fourmis"
"Bernard Werber","Les fourmis","Trilogie des fourmis - 1 - Les fourmis"
"Bernard Werber","","Paradis sur mesure"
"Bernard Werber","","Nos amis les humains"
"Bernard Werber","Les Aventuriers de la science","Le rire du cyclope"
"Bernard Werber","Les Aventuriers de la science","Le Père de nos pères"
"Bernard Werber","","Le papillon des etoiles"
"Bernard Werber","","Le Miroir de Cassandre"
"Bernard Werber","","Le Livre du Voyage"
"Bernard Werber","Les Aventuriers de la science","L'Ultime secret"
"Bernard Werber","","L'Arbre des Possibles"
"Bernard Werber","Cycle des Dieux","Cycle des dieux - 3 - Le Mystere des Dieux"
"Bernard Werber","Cycle des Dieux","Cycle des dieux - 2 - Le Souffle des Dieux"
"Bernard Werber","Cycle des Dieux","Cycle des dieux - 1 - Nous les Dieux"
"Bernard Werber","Les Anges","Cycle des anges - 2 - L'Empire des Anges"
"Bernard Werber","Les Anges","Cycle des anges - 1 - Les Thanatonautes"
"Ben Bova","Colonie","Colonie 1"
"Ben Bova","Colonie","Colonie 2"
"Barclay Linwood","","Cette Nuit-là"
"Aurelie Hustin de Gubernatis","","2012 Les Gardiens du Temps"
"Audrey Burggraf","","Le Secret des Damnés"
"Arthur C. Clarke","Rama","Rama - 4 - Rama révélé"
"Arthur C. Clarke","Rama","Rama - 3 - Les jardins de Rama"
"Arthur C. Clarke","Rama","Rama - 2 - Rama II"
"Arthur C. Clarke","Rama","Rama - 1 - Rendez-vous avec Rama"
"Arthur C. Clarke","L'Odyssée du temps","L'Odyssée du temps - 1 - L'Oeil du temps"
"Arthur C. Clarke","Odyssée","l'odyssée de l'espace - 4 - 3001 : l'odyssée finale"
"Arthur C. Clarke","Odyssée","l'odyssée de l'espace - 3 - 2061 : odyssée trois"
"Arthur C. Clarke","Odyssée","l'odyssée de l'espace - 2 - 2010 : odyssée deux"
"Arthur C. Clarke","Odyssée","l'odyssée de l'espace - 1 - 2001 : l'odyssée de l'espace"
"Arthur C. Clarke","Base Vénus","Base Vénus - 6 - Les Lumineux"
"Arthur C. Clarke","Base Vénus","Base Vénus - 5 - Lune De Diamant"
"Arthur C. Clarke","Base Vénus","Base Vénus - 4 - Meduse"
"Arthur C. Clarke","Base Vénus","Base Vénus - 3 - Cache-Cache"
"Arthur C. Clarke","Base Vénus","Base Vénus - 2 - Maelstrom"
"Arthur C. Clarke","Base Vénus","Base Vénus - 1 - Point de Rupture"
"Anthony-Luc Douzet","La Porte","La Porte - 03 - Metamorphosis"
"Anthony-Luc Douzet","La Porte","La Porte - 02 - Blanches Tepes"
"Anthony-Luc Douzet","La Porte","La Porte - 01 - La Clairière Du Lion"
"Anne Robillard","ANGE","Ange - 8 - Periculum"
"Anonyme","The Bourbon Kid","Le livre de la mort"
"Anthony Horowitz","","La maison de soie"
"Anonyme","The Bourbon Kid","Le cimetière du diable"
"Anonyme","The Bourbon Kid","L'oeil de la Lune"
"Anne Robillard","ANGE","Ange - 9 - Cenotaphium"
"Anonyme","The Bourbon Kid","1 - Le Livre sans Nom"
"Anne Robillard","ANGE","Ange - 7 - Absinthium"
"Anne Robillard","ANGE","Ange - 6 - Tribulare"
"Anne Robillard","ANGE","Ange - 5 - Codex Angelicus"
"Anne Robillard","ANGE","Ange - 4 - Sicarius"
"Anne Robillard","ANGE","Ange - 3 - Perfidia"
"Anne Robillard","ANGE","Ange - 2 - Reptilis"
"Anne Robillard","ANGE","Ange - 10 - Obscuritas"
"Anne Robillard","ANGE","Ange - 1 - Antichristus"
"anne Rice","Sorcières Mayfair","La Saga des sorcières Mayfair - 3 - Taltos"
"anne Rice","Sorcières Mayfair","La Saga des sorcières Mayfair - 2 - L'heure des Sorcières"
"anne Rice","Sorcières Mayfair","La Saga des sorcières Mayfair - 1 - Le lien maléfique"
"anne Rice","","La Momie"
"anne Rice","","L'Heure de l'Ange"
"anne Rice","Chroniques des Vampires","Chroniques des vampires - 9 - Le Domaine Blackwood"
"anne Rice","Chroniques des Vampires","Chroniques des vampires - 8 - Le sang et l'or"
"anne Rice","Chroniques des Vampires","Chroniques des vampires - 7 - Merrick"
"anne Rice","Chroniques des Vampires","Chroniques des vampires - 6 - Armand le vampire"
"anne Rice","Chroniques des Vampires","Chroniques des vampires - 5 - Memnoch le demon"
"anne Rice","Chroniques des Vampires","Chroniques des vampires - 4 - Le Voleur de Corps"
"anne Rice","Chroniques des Vampires","Chroniques des vampires - 3 - La Reine des Damnés"
"anne Rice","Chroniques des Vampires","Chroniques des vampires - 2 - Lestat le Vampire"
"anne Rice","Chroniques des Vampires","Chroniques des vampires - 1 - Entretien avec un vampire"
"Andrzej Sapkowski","La Saga du Sorceleur HS","La Saga du Sorceleur HS - 02 - L'épée de la providence"
"Andrzej Sapkowski","La Saga du Sorceleur HS","La Saga du Sorceleur HS - 01 - Le dernier vœu"
"Andrzej Sapkowski","La Saga du Sorceleur","La Saga du Sorceleur - 04 - La tour de l'Hirondelle"
"Andrzej Sapkowski","La Saga du Sorceleur","La Saga du Sorceleur - 03 - Le baptême du feu"
"Andrzej Sapkowski","La Saga du Sorceleur","La Saga du Sorceleur - 01 - Le sang des elfes"
"Alexandre Malafaye","","Le secret de Moïse"
"Alastair Reynolds","","Janus"
"Alex Scarrow","","La Théorie des Dominos"
"Alastair Reynolds","Inhibiteurs","Inhibiteurs - 4 - Le Gouffre de l'Absolution"
"Alastair Reynolds","Inhibiteurs","Inhibiteurs - 3 - 'Arche de la rédemption"
"Alastair Reynolds","Inhibiteurs","Inhibiteurs - 2 - La Cité du Gouffre"
"Alastair Reynolds","Inhibiteurs","Inhibiteurs - 1 - L'espace de la révélation"
"Alastair Reynolds","Inhibiteurs","Inhibiteurs - 0 - Diamond Dogs, Turquoise Days"
"Adrian D'Hagé","","La menace Oméga"
"Maurice Leblanc","","L’ÉCLAT D’OBUS"
"Emile Zola","","Le Ventre de Paris"
"Maurice Leblanc","","L’ÎLE AUX TRENTE CERCUEILS"
"Maurice Leblanc","","L'agence Barnett et Cie"
"Anatole France","","Monsieur Bergeret a Paris"
"Jules Verne","","Keraban Le Tetu, Vol. I"
"HP_Administrator","","Microsoft Word - O'Brian, Patrick - Maître à bord.doc"
"Inconnu(e)","","J.attali La.Crise.et.Apres"
"Lettre à un jeune artiste -","","Hermann Hesse"
"Jules Verne","","20000 Lieues sous les mers Part 1"
"francois","","Microsoft Word - tristes tropiques.doc"
"Inconnu(e)","","Breviaire-du-Chaos-Caraco"
"Guy de Maupassant","","Le Horla"
"Jules Verne","","Autour de la Lune"
"Jules Verne","","Cinq Semaines En Ballon"
"Bonjour tristesse","","Sagan"
"Gaston Lavalley","","Legendes Normandes"
"De Villiers,Gérard","SAS","SAS à Istanbul"
"Cornwell,Patricia","Kay Scarpetta","Postmortem"
"Mauirice Leblanc","","LA CAGLIOSTRO SE VENGE"
"Victor Hugo","","Litterature et Philosophie melees"
"Les Femmes Savantes","","Molière"
"Jeanne","","Microsoft Word - renard_poil_de_carotte_source.doc"
"Brussolo,Serge","Anouna","Le labyrinthe de pharaon"
"gégé","","INDIGNEZ VOUS"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Panique sur la Grande Muraille"
"STEFAN ZWEIG","","LE JOUEUR D’ÉCHECS"
"Les Contes Du Chat Perché","","Aymé, Marcel"
"Grangé,Jean-Christophe","","La Forêt des Mânes"
"Follett,Ken","","Apocalypse sur commande"
"Harris,Thomas","Hannibal Lecter","Hannibal"
"Molière","","L'Avare"
"Comtesse de Segur","","Le General Dourakine"
"Lindsay,Jeff","Dexter","Dexter dans de beaux draps"
"Chattam, Maxime","","In tenebris"
"Emile Zola","","Pot-bouille"
"Auguste Maquet","","La belle Gabrielle, vol. 2"
"Louis Ferdinand Celine","","Celine - Voyage au bout de la nuit"
"Auguste Maquet","","La belle Gabrielle, vol. 1"
"Millenium 1","","Stieg Larsson"
"Peters,Ellis","Cadfael","Les Ailes du corbeau"
"Imbert de Saint-Amand","","La Cour de Louis XIV"
"Le Petit Prince","","Saint-Exupery, Antoine"
"Voltaire","","Memnon"
"Victor Hugo","","Les Rayons et les Ombres"
"lud","","Préface"
"Anatole France","","Crainquebille, Putois, Riquet et plusieurs autres récits profitables"
"Lindsay,Jeff","Dexter","Les demons de Dexter"
"Maurice Leblanc","","LA BARRE-Y-VA"
"Le Meilleur des Mondes","","Huxley, Aldous"
"Dictionnaire Des Idées Reçues","","Flaubert, Gustave"
"Kerr,Philip","Bernhard Gunther","La mort entre autres"
"Inconnu(e)","","Lettres d'ecrivains"
"Ernest Doin","","Le Conscrit ou Le Retour de Crimee"
"Peters,Ellis","Cadfael","L'Ermite de la forêt d'Eyton"
"Attentat","","Nothomb, Amélie"
"Voyage A Motocyclette","","Che Guevara, Ernesto"
"Lindsay,Jeff","Dexter","Le passager noir"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Mort d'un cuisinier chinois"
"Guy de Maupassant","","L'inutile beaute"
"Anatole France","","Le Jardin d'Epicure"
"Aubert","","Le souffle de l'ogre"
"Ellory,R.J","","Vendetta"
"Les Chroniques Martiennes","","Bradbury, Ray"
"Cornwell,Patricia","Andy Brazil","La griffe du sud"
"Wilkie Collins","","Je dis non"
"Chattam,Maxim","","Leviatemps"
"Neige","","Fermine, Maxence"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Médecine chinoise à l'usage des assassins"
"Contes Normands et Parisiens","","Maupassant, Guy De"
"Simenon,Georges","Maigret","Le chien jaune"
"Jean de La Fontaine","","Fables de La Fontaine / Tome Premier"
"Alphonse Daudet","","Le nabab, tome II"
"Yoshikawa,Eiji","","La pierre et le sabre"
"par Voltaire","","Samson"
"Inconnu(e)","","Carrisi,Donato-Le chuchoteur(Il suggeritore)(2009).French.ebook.AlexandriZ"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Madame Ti mène l'enquête"
"Asimov,Isaac","Veufs Noirs","Le Club des Veufs Noirs"
"Alain-Fournier","","Le Grand Meaulnes"
"Charles Barbara","","L'Assassinat du Pont-Rouge"
"Kerr, Philip","","La paix des dupes"
"Braunbeck, Gary A.","","Mais c'est à toi que je pense"
"Victor Hugo","","Notre Dame de Paris"
"Opera, par Voltaire","","Pandore"
"Nouvelles Sous Ecstasy","","Beigbeder, Frédéric"
"Tintin","","Harry Potter à L'École des Sorciers"
"Abbott,Jeff","","Faux-semblants"
"Guy de Maupassant","","La Main Gauche"
"Cornwell,Patricia","Kay Scarpetta","Une peine d'exception"
"Eugène Chavette","","La Bande de la belle Alliette"
"Jules Verne","","Robur-le-Conquerant"
"Inconnu(e)","","Zuiker,Anthony E.-[Level 26-1]Level 26(2009).French.ebook.AlexandriZ"
"Harris,Thomas","Hannibal Lecter","Le silence des agneaux"
"Emile Zola","","La Conquete De Plassans"
"Alexandre Dumas","","La dame de Monsoreau v.2"
"Oscar Metenier","","Le gorille"
"Benedict H. Revoil","","Nouveaux contes extraordinaires"
"le désosseur","","DEAVER, Jeffrey - le désosseur"
"Victor Hugo","","Les Chansons des rues et des bois"
"La Métamorphose & La Colonie Pénitentiaire","","Kafka, Frantz"
"The Man from Beijing","","The Man From Beijing"
"George Sand","","Mattea"
"Napoleon Bonaparte","","Oeuvres de Napoleon Bonaparte, Tome IV."
"Guy de Maupassant","","Boule de suif"
"Emile Zola","","La Curée"
"Stendhal","","La Chartreuse de Parme"
"Voltaire","","Le Blanc et le Noir"
"Dracula","","Stoker, Bram"
"Simenon,Georges","Maigret","Un crime en Hollande"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Mort d'un maître de Go"
"Mondo & Autres Histoires","","Le Clézio, Jean-Marie Gustave"
"Halan, Corben","","Dans les bois"
"Vargas,Fred","JB Adamsberg","L'homme aux cercles bleus"
"Brown,Dan","Robert Langdon","Anges&démons"
"FOLLETT, Ken","","piliers de la terre"
"Emile Zola","","L'Argent"
"Emile Zola","","Le Docteur Pascal"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Dix petits démons chinois"
"L'Empire Des Anges","","Werber, Bernard"
"Legrand98","","Chapitre 20 : le récit d'Hagrid"
"Peters,Ellis","Cadfael","Le Champ du potier"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Diplomatie en Kimono"
"Kent,Alexander","Bolitho","Cap sur la gloire"
"Arthur de Gobineau","","Mademoiselle Irnois"
"George Sand","","Valvedre"
"Molière","","Dom Juan, ou le festin de pierre"
"Adolphe Thiers","","Histoire de la Revolution française, VIII."
"Peters,Ellis","Cadfael","L'Hérétique et son commis"
"Vargas,Fred","","Debout les morts"
"Izzo,Jean-Claude","Fabio Montale","Solea"
"Claire Favan","","Le tueur intime"
"Jacques Cartier","","Voyage de J. Cartier au Canada"
"Patrick","","FRANCK THILLIEZ"
"Blaise Pascal","","Petits écrits philosophiques et religieux"
"Chattam, Maxime","","L'âme du mal"
"Mary Higgins Clark","","Ce que vivent les roses"
"Tristan","","Danse, danse, danse"
"Maurice Leblanc","","LA FEMME AUX DEUX SOURIRES"
"Adolphe Thiers","","Histoire de la Revolution Francaise, Vol. II"
"Pierre Corneille","","L'illusion comique"
"Lemaitre,Pierre","","Robe de Marié"
"Le Fantôme de Canterville","","Wilde, Oscar"
"Jeunes Cherchent Place","","Baldé-Georgin, Nicole"
"Adolphe Thiers","","Histoire de la Revolution francaise, IV"
"Alphonse Daudet","","L'Immortel"
"Peters,Ellis","Cadfael","Le moineau du Sanctuaire"
"La Volonté de puissance (trad. H. Albert)","","Microsoft Word - Nietzsche_Volonte_de_puissance.doc"
"Maurice Leblanc","","La demoiselle aux yeux verts"
"Day,Thomas","","L'instinct de l'équarrisseur"
"Ernest D'Hervilly","","Le Chat du Neptune"
"Emile Zola","","Contes a Ninon"
"Inconnu(e)","","Kant, Immanuel (1724-1804). Critique de la raison pure (2e éd.) par Em. Kant ; traduite de l'allemand, sur la 7e édition, par C.-J. Tissot,.... 1845."
"Victor Hugo","","L'Ane"
"Guy de Maupassant","","Claire de Lune"
"Bernard Werber","","Le jours des fourmis"
"Kerr,Philip","Bernhard Gunther","La pale figure"
"Peters,Ellis","Cadfael","Un cadavre de trop"
"Guy de Maupassant","","Pierre et Jean"
"Grangé,Jean-Christophe","","Le Serment des limbes"
"Katherine Pancol","","Les écureuils de Central Park sont tristes le lundi"
"Emile Blemont","","A quoi tient l'amour?"
"Anatole France","","L'Etui de nacre"
"Maurice Le blanc","","LES HUIT COUPS DE L’HORLOGE"
"Peters,Ellis","Cadfael","Une rose pour loyer"
"Izzo,Jean-Claude","Fabio Montale","Chourmo"
"Caligula","","Camus, Albert"
"Cornwell,Patricia","Kay Scarpetta","La Séquence des Corps"
"Vargas,Fred","JB Adamsberg","L'homme à l'envers"
"Victor Hugo","","La fin de Satan"
"Pierre Corneille","","Le Cid"
"Maurice Leblanc","","LA DEMEURE MYSTÉRIEUSE"
"Mémoires de L'Enfer (Autobiographie)","","Manson Marilyn"
"François Villon","","Ballades en jargon"
"Arthur Bernède","","Judex"
"samaritain","","Brussolo,Serge-[Anouna-1]Le labyrinthe de pharaon(1998).OCR.French.ebook.AlexandriZ"
